"Field","Value"
"Client.name","TOP GLOVE F31"
"Client.address","JALAN PELABURAN 15A, BATU 5 1/2, 42200 KAPAR, SELANGOR"
"Client.reportDate","2026-03-07"
"Client.reportNo","MIT-2025-61"
"Client.serviceDate","2026-03-06"
"Client.serviceBy","Team 1 (T.M)"
"Client.cfExpiry","N/A"
"Client.clientPIC","SYAFIQ"
"Machine.pmtNo","N/A"
"Machine.manufacturer","TONG CHENG IRON WORKS CO. LTD"
"Machine.vesselType","HORIZONTAL"
"Machine.svSize","N/A"
"Machine.volume","N/A"
"Machine.serialNo","A17071205"
"Machine.yearBuilt","2016"
"Machine.mawp","164"
"Scope.Item1.Checked","YES"
"Scope.Item1.Remark",""
"Scope.Item2.Checked","YES"
"Scope.Item2.Remark",""
"Scope.Item3.Checked","YES"
"Scope.Item3.Remark","SET AT 10 BAR"
"Scope.Item4.Checked","YES"
"Scope.Item4.Remark",""
"Scope.Item5.Checked","YES"
"Scope.Item5.Remark","TO MARK MAWP ON GAUGE"
"Scope.Item6.Checked","NO"
"Scope.Item6.Remark","N/A"
"Scope.Item7.Checked","YES"
"Scope.Item7.Remark",""
"Scope.Item8.Checked","YES"
"Scope.Item8.Remark",""
"Comment.1","Pull the safety valve regularly to avoid malfunction. Contact us promptly in the event of failure."
"Summary","- Keep this report for record and references."
"Signoff.Inspector1.name","Syukri Yusof"
"Signoff.Inspector1.title","Crane & Machinery Inspector - NIOSH"
"Signoff.Inspector2.name","Shalihin Idris"
"Signoff.Inspector2.title","Consultant, Safety & Health Advisor - NIOSH Cert"
