"ID","Created date","Updated date","Owner","Serial Number","Machine Name","Client","Location","Next_CF_Date","Priority","Work Status","Latest Remarks","Project-Link","Import4_machineryList","Import3_machineryList","Import2_machineryList","Import5_machineryList","Import6_machineryList"
"M001","2026-01-15","2026-01-15","admin","A17071205","Air Receiver Tank 1000L","IIUM10","Block A - Ground Floor","2026-09-15","High","Active","Service completed March 2026","","","","","",""
"M002","2026-01-15","2026-01-15","admin","SB-2024-0012","Steam Boiler 500HP","IIUM10","Utility Building","2026-06-30","Urgent","Active","Requires annual inspection","","","","","",""
"M003","2026-01-15","2026-01-15","admin","CR-KT-001","Overhead Crane 10 Ton","IIUM10","Workshop Bay 1","2026-12-01","Medium","Active","Load test done Feb 2026","","","","","",""
"M004","2026-02-01","2026-02-01","admin","PV-HZ-2019","Horizontal Pressure Vessel 2000L","Tijarah Mabrur Sdn Bhd","HQ - Level 1","2027-01-15","Low","Active","Good condition","","","","","",""
"M005","2026-02-01","2026-02-01","admin","CP-ATL-005","Atlas Copco Compressor GA37","Tijarah Mabrur Sdn Bhd","HQ - Compressor Room","2026-08-20","Medium","Active","Filter changed Jan 2026","","","","","",""
"M006","2026-02-01","2026-02-01","admin","HT-CHN-003","Chain Hoist 5 Ton","Tijarah Mabrur Sdn Bhd","Workshop","2026-11-30","Low","Active","Annual inspection pending","","","","","",""
"M007","2026-02-15","2026-02-15","admin","AR-TG-F31-001","Air Receiver Tank 500L","Daikin (M) Sdn Bhd","Plant 1 - Section A","2026-07-20","High","Active","Safety valve calibrated","","","","","",""
"M008","2026-02-15","2026-02-15","admin","CP-IR-008","Ingersoll Rand Compressor R55","Daikin (M) Sdn Bhd","Plant 1 - Compressor Room","2026-10-15","Medium","Active","Running hours logged","","","","","",""
"M009","2026-02-15","2026-02-15","admin","PV-VT-2020","Vertical Pressure Vessel 800L","Daikin (M) Sdn Bhd","Plant 2 - Utility","2026-05-30","Urgent","Due Soon","CF expiring soon","","","","","",""
"M010","2026-03-01","2026-03-01","admin","LF-PSG-001","Passenger Lift - KONE MonoSpace","IIUM 3","Building C","2026-08-01","High","Active","Last serviced Dec 2025","","","","","",""
"M011","2026-03-01","2026-03-01","admin","SB-MIS-002","Miura Steam Boiler EI-2056","IIUM 3","Boiler Room","2026-04-15","Urgent","Overdue","Inspection overdue","","","","","",""
"M012","2026-03-01","2026-03-01","admin","GC-LBG-001","Gantry Crane 20 Ton","rumahhijau","Factory Floor","2027-02-28","Low","Active","New installation 2025","","","","","",""
"M013","2026-03-01","2026-03-01","admin","FLT-TYT-001","Toyota Forklift 8FBN25","rumahhijau","Warehouse","2026-09-01","Medium","Active","Battery replaced","","","","","",""
"M014","2026-03-15","2026-03-15","admin","CP-KSR-010","Kaeser Compressor CSD 75","COMPANY SENDIRI","Workshop A","2026-11-01","Medium","Active","Routine maintenance done","","","","","",""
"M015","2026-03-15","2026-03-15","admin","AR-VT-500","Vertical Air Receiver 500L","COMPANY SENDIRI","Workshop A - Corner","2026-12-15","Low","Active","Pressure test passed","","","","","",""
"M016","2026-03-15","2026-03-15","admin","BLR-YRK-001","York Chiller YCIV","Daikin (M) Sdn Bhd","Plant 1 - Chiller Room","2026-06-01","High","Active","Refrigerant check OK","","","","","",""
